id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,zipcode,geometry
26160993,1 BR apartment in Foggy Bottom/Georgetown/GW metro,90639028,Claudia,,"West End, Foggy Bottom, GWU",38.90276,-77.0547,Entire home/apt,105,10,1,2018-08-11,0.05,1,0,20036,POINT (-77.0547 38.90276)
26182876,Private Bedroom in Beautiful DC Townhome,14584408,Hamid,,"Brookland, Brentwood, Langdon",38.91985,-76.98084,Private room,125,2,39,2020-01-03,1.97,2,137,20002,POINT (-76.98084 38.91985)
26186263,☆Capitol Hill Haven☆ Free Parking + Netflix,3567112,Jason And Ghoncheh,,"Capitol Hill, Lincoln Park",38.8825,-77.00662,Entire home/apt,50,2,40,2019-06-23,2.12,1,0,20003,POINT (-77.00662 38.8825)
26186506,New Private Basemnt Apt-16thSt NW Xmetro/bus/shops,162545055,Shauna,,"Colonial Village, Shepherd Park, North Portal Estates",38.98168,-77.03703,Entire home/apt,100,1,8,2018-08-12,0.4,1,0,20012,POINT (-77.03703 38.98168)
26190956,Classic DC Row House in exciting area,9974179,Eric,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92864,-77.02939,Private room,59,2,27,2019-07-14,1.35,1,0,20010,POINT (-77.02939000000001 38.92864)
26192482,"Spacious, sunlit Studio in the heart of NoMa",75458574,Dinesh & Nidhi,,"Union Station, Stanton Park, Kingman Park",38.90299,-76.99916,Entire home/apt,150,2,28,2019-11-09,1.41,1,148,20002,POINT (-76.99916 38.90299)
26201810,Modern D.C. Home Minutes from Metro,196940402,Robert,,Historic Anacostia,38.86331,-76.98419,Entire home/apt,188,2,54,2020-01-17,2.72,2,52,20020,POINT (-76.98419 38.86331)
26226170,The Casbah Room,1998736,Hillary,,"Capitol View, Marshall Heights, Benning Heights",38.88236,-76.94317,Private room,40,1,1,2018-06-25,0.05,4,0,20019,POINT (-76.94316999999999 38.88236)
26230398,Private bedroom in Glover Park/Georgetown,23230216,Andriy,,"Cathedral Heights, McLean Gardens, Glover Park",38.92301,-77.07856,Private room,49,2,5,2018-07-04,0.25,3,0,20007,POINT (-77.07856 38.92301)
26231715,"Cozy, Whimsical, Airy Upstairs Apartment",3217863,Jan,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.934779999999996,-77.03486,Entire home/apt,75,2,12,2019-09-30,0.62,1,0,20010,POINT (-77.03485999999999 38.93478)
26245633,Cap Hill Cozy 1 Bdr Apartment/Sleeps 5/FREEParking,54126082,Jason,,"Union Station, Stanton Park, Kingman Park",38.89288,-76.97672,Entire home/apt,135,1,22,2020-01-05,1.09,10,103,20003,POINT (-76.97672 38.89288)
26246173,"Economic & Cozy 1Bdr apt, Sleeps 5, parking for 2",13743641,Eric,,"Union Station, Stanton Park, Kingman Park",38.89269,-76.97664,Entire home/apt,109,1,66,2020-01-18,3.26,9,95,20003,POINT (-76.97664 38.89269)
26271068,"Live in Fort Dupont, DC",148858753,Timothy,,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",38.866890000000005,-76.94348000000001,Private room,45,2,15,2019-06-09,0.87,3,51,20020,POINT (-76.94348000000001 38.86689000000001)
26271069,"Live in Fort Dupont, DC (S)",148858753,Timothy,,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",38.868140000000004,-76.94272,Private room,38,1,0,,,3,51,20020,POINT (-76.94271999999999 38.86814)
26281304,Simple Bare Necessities,153318510,Steve,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.907790000000006,-76.98879000000001,Private room,46,1,164,2020-02-17,8.28,2,202,20002,POINT (-76.98879000000001 38.90779000000001)
26294911,Modern 2-Bed Private Apt - Near Metro w/PARKING,197703567,Jeffrey,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.909690000000005,-77.00918,Entire home/apt,135,1,94,2020-01-24,4.68,1,116,20001,POINT (-77.00918 38.90969)
26296408,Meridian guest suite,123619122,Lindsay,,"Dupont Circle, Connecticut Avenue/K Street",38.9186,-77.03732,Private room,77,1,1,2018-09-26,0.06,1,0,20009,POINT (-77.03731999999999 38.9186)
26303427,Just like home,109502756,Malu,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93356,-77.03636999999999,Entire home/apt,80,2,4,2018-10-02,0.2,1,0,20010,POINT (-77.03636999999999 38.93356)
26303923,Home on the Hill,67199428,Stephanie,,"Union Station, Stanton Park, Kingman Park",38.89539,-76.99070999999999,Private room,65,7,8,2018-12-14,0.41,1,0,20003,POINT (-76.99070999999999 38.89539)
26304872,Urban Chic rooftop 1BR apartment & free  parking,105755966,Faenita,,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",38.86857,-76.98145,Private room,49,2,19,2020-01-26,1.01,2,87,20020,POINT (-76.98145 38.86857)
26305111,"Gtown Holiday Glam! Profs, Diplomats, Parents...",197537879,Heidi,,"Georgetown, Burleith/Hillandale",38.91211,-77.06991,Entire home/apt,450,2,4,2019-11-22,0.34,1,135,20007,POINT (-77.06990999999999 38.91211)
26337047,"Welcome to Bloomingdale's  ""Chez Francoise""",85931792,Fran,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91479,-77.01353,Entire home/apt,159,2,55,2019-12-07,2.84,1,151,20001,POINT (-77.01353 38.91479)
